"Gênero","Raça","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","Escore"
"Feminino","PARDA",3,3,4,2,2,4,3,4,5,3,3,2,4,4,5,3,3,4,5,1,1,1,3,3,3,4,2,2,3,3,3,2,4,4,3,3,2,1,3,2,103.0
"Masculino","BRANCA",3,4,1,1,3,4,3,2,4,2,4,2,4,3,4,3,3,2,3,3,2,4,4,4,1,3,4,3,4,2,3,3,3,3,4,1,4,3,4,2,101.0
"Feminino","PARDA",1,4,1,1,1,1,1,3,5,5,5,1,5,4,5,2,1,4,4,1,4,5,5,5,1,5,1,1,1,5,1,1,5,5,5,1,5,1,5,1,109.0
"Masculino","PARDA",1,4,4,1,3,4,4,1,4,2,5,3,5,1,4,3,2,3,4,1,1,4,4,5,1,3,1,3,4,3,1,3,1,3,3,4,3,5,4,3,100.0
"Feminino","PARDA",3,4,2,1,1,4,4,3,4,3,4,3,4,3,3,3,3,2,3,3,4,3,3,4,2,3,4,3,3,3,3,1,4,2,4,1,4,2,4,1,102.0
"Feminino","PARDA",1,3,4,2,2,3,2,1,2,3,4,3,3,4,4,2,2,4,5,4,2,3,3,5,3,1,5,2,4,4,2,4,1,1,1,5,5,2,1,5,98.0
"Feminino","PARDA",2,3,4,2,2,3,3,2,5,3,4,1,5,5,3,1,3,3,4,1,3,3,3,3,2,2,4,3,4,3,4,1,5,2,4,2,3,2,4,1,103.0
"Feminino","BRANCA",3,5,3,3,1,3,3,1,5,1,5,1,5,4,4,1,4,1,4,1,4,1,4,4,3,1,5,5,5,1,4,1,4,1,4,1,4,1,4,1,101.0
"Feminino","PARDA",1,4,2,2,1,1,4,1,4,1,5,3,4,3,4,2,4,3,5,2,1,1,5,3,2,3,4,4,4,4,4,2,5,3,4,1,3,2,4,1,103.0
"Feminino","PARDA",3,4,3,3,1,1,4,2,5,1,4,3,4,3,4,3,4,1,3,3,3,1,4,3,3,1,4,1,3,3,4,1,4,3,5,3,3,3,4,1,100.0
"Feminino","PARDA",3,4,1,1,2,4,1,5,5,4,4,1,4,3,4,2,4,2,1,2,2,1,1,4,2,3,5,1,4,2,5,2,4,4,5,2,4,1,5,1,97.0
"Feminino","PARDA",2,3,4,2,1,1,3,3,5,2,3,2,4,3,5,2,2,2,4,3,3,2,4,2,2,3,4,3,4,2,2,2,5,1,5,2,4,2,5,2,103.0
"Feminino","PARDA",1,5,1,1,1,3,2,1,4,2,4,1,5,4,4,1,4,2,4,4,2,2,2,3,1,4,3,1,4,4,4,2,5,3,4,4,4,1,4,2,92.0
"Feminino","PARDA",1,4,5,1,1,4,1,3,5,1,4,1,5,3,3,1,4,1,5,1,1,3,5,3,1,4,5,1,4,4,5,1,1,1,2,4,5,1,4,3,94.0
"Feminino","PRETO",2,3,4,1,1,3,2,1,5,1,5,1,5,4,4,3,2,1,4,3,2,1,4,3,2,1,4,3,4,2,4,2,5,1,5,2,2,2,4,4,98.0
"Feminino","PARDA",3,4,1,1,1,4,2,1,5,1,4,1,4,3,3,3,4,3,3,1,1,3,4,1,2,4,4,2,3,4,3,2,5,1,4,3,4,4,4,1,94.0
"Masculino","PARDA",1,4,2,3,4,1,4,2,5,3,3,2,5,4,3,3,3,3,4,2,3,3,4,3,2,2,1,3,2,2,1,4,4,2,1,2,4,3,1,3,95.0
"Feminino","PARDA",3,3,1,1,1,3,4,3,4,3,5,3,5,4,4,1,2,1,4,1,2,3,4,2,1,3,4,3,3,2,3,2,2,3,5,2,2,3,4,2,99.0
"Feminino","PRETO",3,4,3,1,1,4,3,4,4,4,4,1,5,1,4,1,1,4,4,3,1,1,5,4,1,4,1,1,4,4,4,1,1,1,5,1,5,1,5,1,96.0
"Feminino","BRANCA",2,4,3,2,2,3,2,2,4,2,4,3,3,2,4,2,2,2,4,3,1,2,4,2,2,2,2,2,2,2,2,3,4,3,4,3,4,4,4,3,93.0
"Masculino","PARDA",1,3,4,1,3,2,4,1,5,3,4,2,5,1,3,3,3,3,3,1,3,2,2,3,2,3,4,1,3,3,4,1,3,1,4,3,3,3,3,3,94.0
"Masculino","PARDA",1,3,3,1,1,2,2,3,4,3,4,1,3,3,4,2,4,2,4,1,2,2,3,4,2,3,3,2,2,4,3,1,3,3,5,2,4,4,4,2,96.0
"Masculino","BRANCA",2,3,3,2,2,1,1,3,4,3,3,2,2,3,3,3,3,3,2,2,1,1,4,4,3,3,3,2,3,4,4,1,3,3,4,2,2,2,4,4,94.0
"Feminino","PARDA",1,3,4,2,2,4,4,2,5,4,2,2,4,3,2,2,4,3,3,2,1,1,2,3,1,4,5,1,4,1,1,1,5,2,4,1,3,1,3,1,87.0
"Feminino","PARDA",1,2,2,3,1,4,3,2,2,2,3,3,4,3,4,3,2,3,4,1,1,5,4,4,1,4,1,1,2,3,1,1,1,2,4,2,3,3,5,3,91.0
"Feminino","PARDA",2,3,2,1,2,3,4,1,4,2,4,1,4,4,4,2,4,1,4,1,2,2,4,1,2,4,2,2,4,1,4,1,4,2,4,2,2,1,4,1,87.0
"Feminino","PARDA",1,4,4,3,3,5,3,2,3,3,4,1,1,1,4,1,1,3,4,2,2,2,4,4,1,3,1,2,3,3,1,2,2,3,4,1,3,1,3,3,85.0
"Masculino","PARDA",1,3,2,2,1,3,3,4,4,2,3,2,4,2,3,1,2,3,3,2,2,2,2,3,1,3,4,2,3,4,4,2,3,2,3,2,2,2,3,2,88.0
"Feminino","PARDA",1,4,3,1,1,3,3,4,4,1,4,1,4,3,4,1,4,1,4,1,1,3,4,3,1,4,1,2,1,3,1,1,5,2,4,1,5,1,4,1,86.0
"Feminino","PARDA",2,4,2,1,1,1,1,4,4,1,4,1,4,1,4,1,4,4,4,1,1,4,4,1,1,4,1,1,1,1,1,4,4,4,4,4,4,1,4,1,84.0
"Masculino","PRETO",2,3,1,1,1,2,3,2,4,1,3,1,4,2,3,1,4,2,3,3,3,3,2,3,1,4,4,1,1,2,4,2,3,3,4,2,2,4,4,1,84.0
"Feminino","PRETO",3,4,4,3,2,4,4,3,4,2,1,1,4,1,1,1,1,2,4,2,2,3,1,2,2,4,4,1,4,1,4,1,4,1,4,2,2,1,4,1,84.0
"Feminino","BRANCA",1,4,2,2,2,2,4,2,4,2,5,2,4,2,3,2,4,2,4,3,3,2,4,2,2,2,2,2,1,1,2,1,2,2,4,2,2,1,4,1,81.0
"Feminino","BRANCA",1,4,3,2,3,1,1,3,5,3,4,2,5,1,4,2,1,1,4,2,1,3,4,3,1,3,1,1,1,2,1,1,4,3,4,3,4,1,4,1,84.0
"Feminino","PRETO",1,4,4,1,1,1,4,1,5,1,5,1,5,1,4,1,4,4,4,1,1,1,4,1,1,1,4,1,1,1,4,1,3,1,5,4,4,1,4,1,82.0
"Masculino","PARDA",2,3,2,2,1,3,2,3,5,3,4,3,4,2,3,2,3,2,4,3,2,2,3,2,1,3,2,2,2,2,1,2,3,2,3,2,2,1,3,1,82.0
"Feminino","PARDA",3,4,3,3,3,2,2,1,4,3,4,1,3,2,3,3,4,3,3,3,3,3,3,1,2,3,2,3,1,1,1,1,2,2,2,2,1,1,2,3,78.0
"Masculino","BRANCA",1,2,2,1,1,2,2,3,4,1,4,1,3,3,4,2,4,1,4,3,2,2,2,3,1,2,4,1,3,2,4,1,3,1,4,2,3,2,4,2,82.0
"Feminino","PARDA",3,4,4,2,1,1,1,2,3,2,1,1,4,3,1,2,1,3,3,1,1,1,3,3,1,3,4,1,3,3,4,1,2,3,4,3,3,1,4,3,83.0
"Feminino","PARDA",2,4,2,2,1,3,3,3,4,3,2,1,4,3,4,2,3,3,2,1,1,3,3,3,2,3,1,2,2,2,1,1,1,3,2,1,3,1,2,3,79.0
"Feminino","PARDA",3,3,2,3,2,1,1,5,1,3,3,1,5,4,4,1,1,1,2,3,2,1,2,2,2,5,5,2,1,2,3,1,1,1,3,1,1,1,3,3,80.0
"Feminino","BRANCA",1,5,1,1,1,2,2,1,5,2,2,2,4,3,1,1,4,3,1,2,1,1,1,3,1,3,3,2,3,3,3,2,4,2,4,3,3,1,2,1,73.0
"Masculino","BRANCA",1,4,1,1,2,3,2,1,5,1,3,1,3,1,4,3,1,2,1,1,3,1,3,4,3,1,2,3,4,2,1,1,2,3,1,1,4,4,5,1,78.0
"Feminino","PARDA",3,4,1,1,3,1,3,4,4,2,4,1,4,1,3,1,4,1,3,1,1,3,3,1,1,2,1,1,3,1,2,1,4,1,4,3,1,1,4,1,72.0
"Feminino","BRANCA",1,1,3,2,1,3,3,2,2,1,3,2,3,1,3,3,1,3,3,1,3,3,3,3,1,3,2,1,3,1,2,1,1,3,3,3,4,1,4,1,78.0
"Masculino","PRETO",3,4,3,2,3,3,2,3,4,2,2,2,4,1,3,2,1,1,3,1,1,2,3,3,1,2,2,2,3,1,2,1,2,3,2,2,2,1,2,1,73.0
"Feminino","PARDA",1,4,1,1,3,4,1,1,5,1,4,1,4,2,4,1,1,2,1,1,1,1,2,2,1,3,4,2,4,3,3,1,1,1,1,2,3,3,2,3,71.0
"Masculino","BRANCA",1,1,2,1,2,4,1,3,4,1,2,2,2,1,3,1,3,2,2,1,2,1,3,2,1,2,2,1,2,1,2,2,3,3,4,3,2,1,2,2,66.0
"Masculino","PRETO",1,4,1,2,1,3,1,1,3,2,1,1,3,2,1,1,1,1,1,1,2,2,3,2,1,1,1,1,3,2,2,2,4,2,1,2,4,2,1,2,60.0
"Feminino","BRANCA",2,4,1,1,1,1,2,1,1,2,1,1,1,2,1,3,1,1,4,4,2,1,4,3,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,53.0
